Time,Torque,Temp_1,Temp_2
1628271972.49, -5.77,74.43,74.15
1628271972.53, -5.77,74.44,74.15
1628271972.58, -5.77,74.46,74.16
1628271972.62, -5.77,74.46,74.15
1628271972.66, -5.77,74.46,74.13
1628271972.71, -5.77,74.45,74.13
1628271972.75, -5.77,74.46,74.14
1628271972.80, -5.77,74.46,74.14
1628271972.84, -5.77,74.46,74.15
1628271972.89, -5.77,74.44,74.14
1628271972.93, -5.77,74.46,74.13
1628271972.97, -5.77,74.45,74.15
1628271973.02, -5.77,74.46,74.15
1628271973.07, -5.77,74.45,74.17
1628271973.11, -5.77,74.45,74.15
1628271973.16, -5.77,74.46,74.15
1628271973.20, -5.77,74.45,74.16
1628271973.24, -5.77,74.45,74.16
1628271973.29, -5.77,74.45,74.15
1628271973.33, -5.77,74.46,74.18
1628271973.38, -5.77,74.44,74.16
1628271973.42, -5.77,74.45,74.16
1628271973.47, -5.77,74.45,74.15
1628271973.51, -5.77,74.46,74.15
1628271973.56, -5.77,74.46,74.15
1628271973.60, -5.77,74.47,74.14
1628271973.65, -5.77,74.48,74.17
1628271973.69, -5.77,74.46,74.16
1628271973.74, -5.77,74.48,74.17
1628271973.78, -5.77,74.48,74.15
1628271973.83, -5.77,74.47,74.15
1628271973.87, -5.77,74.46,74.15
1628271973.91, -5.77,74.44,74.13
1628271973.96, -5.77,74.44,74.14
1628271974.00, -5.77,74.47,74.12
1628271974.05, -5.77,74.47,74.14
1628271974.09, -5.77,74.45,74.11
1628271974.13, -5.77,74.45,74.13
1628271974.18, -5.77,74.45,74.13
1628271974.22, -5.77,74.46,74.12
1628271974.27, -5.77,74.43,74.15
1628271974.31, -5.77,74.46,74.15
1628271974.35, -5.77,74.45,74.14
1628271974.40, -5.77,74.44,74.16
1628271974.44, -5.77,74.46,74.16
1628271974.49, -5.77,74.45,74.18
1628271974.53, -5.77,74.45,74.15
1628271974.58, -5.77,74.44,74.14
1628271974.62, -5.77,74.45,74.16
1628271974.67, -5.77,74.45,74.15
1628271974.71, -5.77,74.46,74.15
1628271974.76, -5.77,74.46,74.14
1628271974.80, -5.77,74.47,74.15
1628271974.85, -5.77,74.48,74.16
1628271974.89, -5.77,74.46,74.15
1628271974.94, -5.77,74.47,74.16
1628271974.98, -5.77,74.48,74.16
1628271975.02, -5.77,74.47,74.12
1628271975.07, -5.77,74.48,74.16
1628271975.11, -5.77,74.46,74.14
1628271975.16, -5.77,74.48,74.17
1628271975.20, -5.77,74.47,74.18
1628271975.25, -5.77,74.48,74.15
1628271975.29, -5.77,74.47,73.96
1628271975.34, -21.34,74.35,74.06
1628271975.38, -227.00,74.44,74.05
